id,城市,市区,标题,户型,面积,方位,楼层,时间,所属小区,所属区域,总价,均价,房龄
2036,fuzhou,台江,望熙雅筑  90平   一套精装在售 端头户型 三房,3 室 2 厅 1 卫,89㎡,南北,中层(共20层),2025年建造,榕发望熙雅筑A区,台江 万宝 交通西路,188万,21124元/㎡,2025年建造
2037,fuzhou,台江,急售！望熙雅筑高层东端头 社区中心看花园 诚意出价格可以谈,3 室 2 厅 2 卫,105㎡,南北,中层(共34层),2025年建造,榕发望熙雅筑A区,台江 万宝 交通西路,200万,19048元/㎡,2025年建造
2038,fuzhou,仓山,单价2.2万购，白湖亭纯商洋楼，电梯高层，毛坯四房，一梯一户,4 室 2 厅 2 卫,114.02㎡,南北,低层(共15层),2025年建造,建总江南尚璟,仓山 连江南路 东藤路,260万,22804元/㎡,2025年建造
2039,fuzhou,晋安,国贸保利和颂锦原 次新房 居住密度低 三房两卫 动静分离热门,3 室 2 厅 2 卫,95㎡,南北,低层(共18层),2025年建造,国贸保利和颂锦原,晋安 五四北 坂中路,198万,20843元/㎡,2025年建造
2040,fuzhou,仓山,首开榕耀之城，城门板块双地铁口，端户三房，纯商品房，业主急售,3 室 2 厅 2 卫,89.27㎡,南北,低层(共13层),2025年建造,首开融创榕耀之城B区,仓山 福峡路 螺城路48号,119万,13331元/㎡,2025年建造
2041,fuzhou,仓山,急售  ，城门附近双地铁，首开榕耀之城洋房刚需  来电享团购,3 室 2 厅 2 卫,89㎡,南北,中层(共11层),2024年建造,首开融创榕耀之城B区,仓山 福峡路 螺城路48号,116万,13034元/㎡,2024年建造
2042,fuzhou,晋安,万科金域时代 豪华精装 交通便捷 医疗配套成熟 次新小区,1 室 1 厅 1 卫,45㎡,南,低层(共33层),2024年建造,万科金域时代,晋安 火车站 茶园横路8号,79万,17556元/㎡,2024年建造
2043,fuzhou,闽侯,房东包税丨上街省委党校对面丨洋房小区丨公摊小丨南北通透,3 室 2 厅 2 卫,83㎡,南北,低层(共12层),2024年建造,恒荣蓝泽悦滨江,闽侯 上街 侯官大道9号,80万,9639元/㎡,2024年建造
2044,fuzhou,仓山,新出 首开融创榕耀之城 精装三居室 近地铁 双卫生间 好楼层,3 室 1 厅 2 卫,86㎡,南北,中层(共11层),2024年建造,首开融创榕耀之城B区,仓山 福峡路 螺城路48号,112万,13024元/㎡,2024年建造
2045,fuzhou,仓山,急！就这1套！精装三房双卫 端头中间层 南北通透丨榕耀之城,3 室 2 厅 2 卫,89㎡,南北,高层(共11层),2025年建造,首开融创榕耀之城B区,仓山 福峡路 螺城路48号,115.8万,13012元/㎡,2025年建造
2046,fuzhou,台江,榕发望熙雅筑A区 小三房 近地铁 出行方便 带电梯 次新小区,3 室 2 厅 1 卫,89㎡,南北,低层(共32层),2025年建造,榕发望熙雅筑A区,台江 万宝 交通西路,143万,16068元/㎡,2025年建造
2047,fuzhou,仓山,金山地铁口必看房源！品质社区！全屋大金中央空调精装现房！,4 室 2 厅 2 卫,132㎡,南北,高层(共18层),2024年建造,万科城市之光,仓山 金山大道 妙高路,N/A,N/A,2024年建造
2048,fuzhou,台江,望熙雅筑B区 2室2厅1卫,2 室 2 厅 1 卫,60㎡,西北,高层(共24层),2026年建造,榕发望熙雅筑B区,台江 万宝 交通西路,115万,19167元/㎡,2026年建造
2049,fuzhou,仓山,远洋天赋 精装可拎包入住 楼层好 车位充足 近地铁 产权清晰,4 室 2 厅 2 卫,132㎡,南北,中层(共18层),2024年建造,远洋天赋,仓山 火车南站 南江滨东大道,120万,9091元/㎡,2024年建造
2050,fuzhou,台江,万象城背后次新楼盘 全新精装修未入住 2房 全明户型 急出中,2 室 1 厅 1 卫,75㎡,南北,低层(共32层),2026年建造,榕发望熙雅筑B区,台江 万宝 交通西路,129.2万,17227元/㎡,2026年建造
2051,fuzhou,仓山,次新房 商品住宅 低密宜居 双卫生间 装修好 小三居,3 室 2 厅 2 卫,89㎡,南北,高层(共15层),2025年建造,左海望悦,仓山 则徐大道 双洲路1号,199万,22360元/㎡,2025年建造
2052,fuzhou,仓山,诚意出售市中心1号线地铁口  左海望悦89精装3房拎包入住,3 室 2 厅 2 卫,89㎡,南北,低层(共15层),2024年建造,左海望悦,仓山 则徐大道 双洲路1号,189万,21236元/㎡,2024年建造
2053,fuzhou,仓山,业主急售丨中骏世界城丨中骏商城边丨三叉街地铁口丨双商圈丨急售,3 室 2 厅 2 卫,96.14㎡,南北,中层(共16层),2024年建造,中骏世界城璟悦(一期),仓山 三叉街 利民路10号,198万,20595元/㎡,2024年建造
2054,fuzhou,台江,新出万象城地铁口旁2026年社区望熙雅筑电梯高层三房,3 室 2 厅 1 卫,88.6㎡,南北,高层(共24层),2026年建造,榕发望熙雅筑A区,台江 万宝 交通西路,143万,16140元/㎡,2026年建造
2055,fuzhou,仓山,商圈成熟 商品房 次新房 近地铁 南北通透 交通便捷,4 室 2 厅 2 卫,120.78㎡,南北,高层(共16层),2024年建造,大东海中央府A区,仓山 则徐大道 郭宅路,120万,9936元/㎡,2024年建造
2056,fuzhou,晋安,中海品质住宅，晋安湖旁，低密次新社区，四号线地铁口，业主急售,3 室 2 厅 2 卫,100㎡,南北,高层(共20层),2024年建造,中海叁号院B区,晋安 前横路 鱼山路3号,235万,23500元/㎡,2024年建造
2057,fuzhou,台江,急！阳光十足 望熙B区 高层三房两卫 房东诚意出 价格可以谈,3 室 2 厅 2 卫,105㎡,南北,高层(共32层),2025年建造,榕发望熙雅筑B区,台江 万宝 交通西路,203万,19334元/㎡,2025年建造
2058,fuzhou,晋安,建总云璟未来！近鼓楼国企品质楼盘！高层视野好！1号F1双地铁,3 室 2 厅 2 卫,89㎡,南北,中层(共27层),2026年建造,建总云璟未来,晋安 火车站 站西路63号,189万,21236元/㎡,2026年建造
2059,fuzhou,晋安,惊！     实景现房 火车站地铁口,3 室 2 厅 2 卫,89.83㎡,南北,低层(共23层),2026年建造,建总云璟未来,晋安 火车站 站西路63号,189万,21040元/㎡,2026年建造
2060,fuzhou,晋安,晋安区国企三房 次新小区 纯商品住宅 火车北站旁,3 室 2 厅 2 卫,89㎡,南北,高层(共27层),2026年建造,建总云璟未来,晋安 火车站 站西路63号,187万,21012元/㎡,2026年建造
2061,fuzhou,闽侯,万科城市花园 3室2厅2卫,3 室 2 厅 2 卫,87㎡,南,高层(共27层),2024年建造,万科城市花园,闽侯 荆溪 荆溪东大道62号,61万,7012元/㎡,2024年建造
2062,fuzhou,晋安,中海品质住宅，晋安湖旁，生态环境宜居，低密度小高层，中间楼层,4 室 2 厅 2 卫,125㎡,南,低层(共18层),2024年建造,中海叁号院B区,晋安 前横路 鱼山路3号,300万,24000元/㎡,2024年建造
2063,fuzhou,晋安,南北通透东边户全明长阳台前屿站二号线四号线双地铁口品质社区,4 室 2 厅 2 卫,115㎡,南北,中层(共25层),2024年建造,保利云上,晋安 鼓山 福马路,245万,21305元/㎡,2024年建造
2064,fuzhou,晋安,五里亭，地铁口，大东海玺悦，东端头户型，出行方便，诚意出售。,4 室 2 厅 2 卫,118㎡,南北,低层(共20层),2025年建造,大东海玺悦,晋安 王庄 藕塘巷8号,253万,21441元/㎡,2025年建造
2065,fuzhou,晋安,晋安湖双地铁口丨央企改善社区品质丨豪装交付丨急售可谈,4 室 2 厅 2 卫,115㎡,南北,中层(共27层),2024年建造,保利云上,晋安 鼓山 福马路,223万,19392元/㎡,2024年建造
2066,fuzhou,仓山,急售白湖亭地铁口 端头大4房精装现房  下楼  广场,4 室 2 厅 2 卫,106.77㎡,南北,高层(共15层),2025年建造,左海望悦,仓山 则徐大道 双洲路1号,230万,21542元/㎡,2025年建造
2067,fuzhou,连江,毛坯三方周边配套齐全,3 室 1 厅 2 卫,89㎡,南,中层(共25层),2025年建造,恒宇国际尚悦,连江 县城 站东路10号,80万,8989元/㎡,2025年建造
2068,fuzhou,晋安,榕发观湖郡 商圈成熟 近地铁 双卫格局 交通便利 停车方便,3 室 2 厅 2 卫,88.02㎡,南北,高层(共15层),2024年建造,榕发观湖郡,晋安 东二环 化工路238号,248万,28176元/㎡,2024年建造
2069,fuzhou,晋安,锦鸿佳园 中间楼层采光好 交通便捷 带电梯 精装修 商品住宅,1 室 1 厅 1 卫,45㎡,南北,中层(共33层),2024年建造,锦鸿佳园,晋安 福马路 七贤路2号,77万,17112元/㎡,2024年建造
